Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
Suisan Kenkyu sosho	Suisan Kenkyu sosho	Suisan Kenkyu sosho
Suisan zoyoshoku sosho	Suisan Zoyoshoku Sosho	Suisan Zoyoshoku Sosho
Suomen Virallinen Tilasto - Ympaeristoe Miljoe/Official Statistics of Finland	SVT Ympaeristoe Miljoe/Off. Stat. Finland	SVT Ympaeristoe Miljoe/Off Stat Finland
Suomen Virallinen Tilasto. Maa-, Metsae- ja Kalatalous/Finlands Officiella Statistik. Jord- och Skogsbruk samt Fiske/Official Statistics of Finland. Agriculture, Forestry and Fisheries	SVT Maa Metsae Kalatalous/Finlands. Off. Stat. Jord Skogsbruk Fiske/Off. Stat. Finland Agric. Forest. Fish.	SVT Maa Metsae Kalatalous/Finlands Off Stat Jord Skogsbruk Fiske/Off Stat Finland Agric Forest Fish
Surface and Coatings Technology	Surf. Coat. Technol.	Surf Coat Technol
Surgery	Surgery	Surgery
Surgical Practice	Surgical Pract.	Surgical Pract
Survey of Ophthalmology	Surv. Ophthalmol.	Surv Ophthalmol
Svensk Botanisk Tidskrift	Sven. Bot. Tidskr.	Sven Bot Tidskr
Swara. East African Wild Life Society	Swara East Afr. Wildl. Soc.	Swara East Afr Wildl Soc
Swedish Journal of Agricultural Research	Swed. J. Agric. Res.	Swed J Agric Res
SWEDMAR Special Report	SWEDMAR Spec. Rep.	SWEDMAR Spec Rep
Syllogeus	Syllogeus	Syllogeus
Symbiosis	Symbiosis	Symbiosis
Synapse	Synapse	Synapse
Synopses of the British fauna. New series	Synop. Br. Fauna (New Ser.)	Synop Br Fauna (New Ser)
Syntax	Syntax	Syntax
Systematic and Applied Microbiology	Syst. Appl. Microbiol.	Syst Appl Microbiol
Systematic Biology	Syst. Biol.	Syst Biol
Systematic Botany	Syst. Bot.	Syst Bot
Systematic Entomology	Syst. Entomol.	Syst Entomol
Systematic Parasitology	Syst. Parasitol.	Syst Parasitol
Systematics and biodiversity	Syst. Biodivers.	Syst Biodivers
Tablas de marea. Centro de Investigacion Cientifica y de Educacion Superior de Ensenada	Tablas Marea Cent. Invest. Cient. Educ. Super. Ensenada	Tablas Marea Cent Invest Cient Educ Super Ensenada
Tablas de mareas. Instituto de Oceanologia, Academia de Ciencias de Cuba	Tablas Mareas Inst. Oceanol. Acad. Cienc. Cuba	Tablas Mareas Inst Oceanol Acad Cienc Cuba
Taetigkeitsbericht. Internationale Kommission zum Schutze des Rheins gegen Verunreinigung	Taetigkeitsber. Int. Komm. Schutze Rheins Verunreinig.	Taetigkeitsber Int Komm Schutze Rheins Verunreinig
Taiwan Journal of Public Health	Taiwan J. Public Health	Taiwan J Public Health
Taiwania	Taiwania	Taiwania
Talanta	Talanta	Talanta
Targets Applications of Genomics & Proteomics	Targets Appl. Genomics Proteomics	Targets Appl Genomics Proteomics
Tasmanian naturalist	Tasman. Nat.	Tasman Nat
Taxon	Taxon	Taxon
Teachers College Record	Teachers College Rec.	Teachers College Rec
Technical bulletin. Pacific Tuna Development Foundation	Tech. Bull. Pac. Tuna Dev. Found.	Tech Bull Pac Tuna Dev Found
Technical circular. Directorate of Fisheries (Bahrain)	Tech. Circ. Dir. Fish. (Bahrain)	Tech Circ Dir Fish (Bahrain)
Technical completion report. Montana Institute of Water Resources Research Center	Tech. Compl. Rep. Mont. Inst. Water Resour. Res. Cent.	Tech Compl Rep Mont Inst Water Resour Res Cent
Technical completion report. New Mexico Water Resources Research Center	Tech. Compl. Rep. N.M. Water Resour. Res. Cent.	Tech Compl Rep NM Water Resour Res Cent
Technical document. Hydrologic Engineering Center, Davis, Calif	Tech. Doc. Hydrol. Eng. Cent. Davis Calif.	Tech Doc Hydrol Eng Cent Davis Calif
Technical document. Integrated Coastal Fisheries Management Project, Secretariat of the Pacific Community	Tech. Doc. Integr. Coast. Fish. Manag. Proj. Secr. Pac. Community	Tech Doc Integr Coast Fish Manag Proj Secr Pac Community
Technical document. Lake Victoria Fisheries Research Project Phase II	Tech. Doc. Lake Vic. Fish. Res. Proj. Phase II	Tech Doc Lake Vic Fish Res Proj Phase II
Technical document. Southern California University, Institute of Marine and Coastal Studies	Tech. Doc. South. Calif. Univ. Inst. Mar. Coast. Stud.	Tech Doc South Calif Univ Inst Mar Coast Stud
Technical document. U.S. Naval Ocean Research and Development Activity	Tech. Doc. U.S. Nav. Ocean Res. Dev. Act.	Tech Doc US Nav Ocean Res Dev Act
Technical document. U.S. Naval Ocean Systems Center	Tech. Doc. U.S. Nav. Ocean Syst. Cent.	Tech Doc US Nav Ocean Syst Cent
Technical document. U.S. Naval Underwater Systems Center	Tech. Doc. U.S. Nav. Underwat. Syst. Cent.	Tech Doc US Nav Underwat Syst Cent
Technical memorandum. Argonne National Laboratory	Tech. Memo. Argonne Natl. Lab.	Tech Memo Argonne Natl Lab
Technical memorandum. Environmental Research Institute of Michigan	Tech. Memo. Environ. Res. Inst. Mich.	Tech Memo Environ Res Inst Mich
Technical memorandum. Great Barrier Reef Marine Park Authority	Tech. Memo. Great Barrier Reef Mar. Park Auth.	Tech Memo Great Barrier Reef Mar Park Auth
Technical memorandum. Oak Ridge National Laboratory	Tech. Memo. Oak Ridge Natl. Lab.	Tech Memo Oak Ridge Natl Lab
Technical memorandum. Scripps Institution of Oceanography, Marine Physics Laboratory	Tech. Memo. Scripps Inst. Oceanogr. Mar. Phys. Lab.	Tech Memo Scripps Inst Oceanogr Mar Phys Lab
Technical memorandum. Supervising Scientist for the Alligator Rivers Region (Australia)	Tech. Memo. Superv. Sci. Alligator Rivers Reg. (Aust.)	Tech Memo Superv Sci Alligator Rivers Reg (Aust)
Technical memorandum. U.S. Naval Coastal Systems Center	Tech. Memo. U.S. Nav. Coast. Syst. Cent.	Tech Memo US Nav Coast Syst Cent
Technical Note. Nansen Environmental and Remote Sensing Center	Tech. Note Nansen Environ. Remote Sens. Cent.	Tech Note Nansen Environ Remote Sens Cent
Technical note. National Center for Atmospheric Research (U.S.)	Tech. Note Natl. Cent. Atmos. Res. (U.S.)	Tech Note Natl Cent Atmos Res (US)
Technical note. U.S. Naval Coastal Systems Center	Tech. Note U.S. Nav. Coastal. Syst. Cent.	Tech Note US Nav Coastal Syst Cent
Technical note. U.S. Naval Ocean Research and Development Activity	Tech. Note U.S. Nav. Ocean Res. Dev. Act.	Tech Note US Nav Ocean Res Dev Act
Technical note. U.S. Naval Oceanographic and Atmospheric Research Laboratory	Tech. Note U.S. Nav. Oceanogr. Atmos. Res. Lab.	Tech Note US Nav Oceanogr Atmos Res Lab
Technical note. U.S. Navy Civil Engineering Laboratory	Tech. Note U.S. Navy Civ. Eng. Lab.	Tech Note US Navy Civ Eng Lab
Technical Notes. U.S. Army Engineer Waterways Experiment Station, Environmental Laboratory	Tech. Notes. U.S. Army Eng. Waterways Exp. Station, Environ. Lab.	Tech Notes US Army Eng Waterways Exp Station, Environ Lab
Technical paper. Battelle Pacific Northwest Laboratories	Tech. Pap. Battelle Pac. Northwest Lab.	Tech Pap Battelle Pac Northwest Lab
Technical Paper. CSIRO Atmospheric Research	Tech. Paper. CSIRO Atmos. Res.	Tech Paper CSIRO Atmos Res
Technical paper. Florida Sea Grant Program	Tech. Pap. Fla. Sea Grant Program	Tech Pap Fla Sea Grant Program
Technical paper. Hydrologic Engineering Research Center, Davis, Calif	Tech. Pap. Hydrol. Eng. Res. Cent. Davis Calif.	Tech Pap Hydrol Eng Res Cent Davis Calif
Technical paper. National Renewable Energy Laboratory (U.S.)	Tech. Pap. Natl. Renew. Energy Lab. (U.S.)	Tech Pap Natl Renew Energy Lab (US)
Technical paper. Nigerian Institute for Oceanography and Marine Research	Tech. Pap. Niger. Inst. Oceanogr. Mar. Res.	Tech Pap Niger Inst Oceanogr Mar Res
Technical paper. Reef Resources Assessment and Management	Tech. Pap. Reef Resour. Assess. Manag.	Tech Pap Reef Resour Assess Manag
Technical paper. Solar Energy Research Institute, Golden Colo	Tech. Pap. Solar Energy Res. Inst. Golden Colo.	Tech Pap Solar Energy Res Inst Golden Colo
Technical paper. U.S. Army Coastal Engineering Research Center	Tech. Pap. U.S. Army Coast. Eng. Res. Cent.	Tech Pap US Army Coast Eng Res Cent
Technical paper. U.S. Bureau of Land Management	Tech. Pap. U.S. Bur. Land Manage.	Tech Pap US Bur Land Manage
Technical publication series. American Water Resources Association.	Tech. Publ. Ser. Am. Water Resour. Assoc.	Tech Publ Ser Am Water Resour Assoc
Technical report of MRC-READ Proj. (Cambodia)	Tech. Rep. MRC-READ Proj. (Cambodia)	Tech Rep MRC-READ Proj (Cambodia)
Technical report of National Research Institute of Fisheries Engineering (Japan). Aquaculture and fishing port engineering	Tech. Rep. Natl. Res. Inst. Fish. Eng. (Japan) (Aquacult. Fish. Port Eng.)	Tech Rep Natl Res Inst Fish Eng (Japan) (Aquacult Fish Port Eng)
Technical report of National Research Institute of Fisheries Engineering (Japan). Fishing boat and instrument	Tech. Rep. Natl. Res. Inst. Fish. Eng. (Japan) (Fish. Boat Instrum.)	Tech Rep Natl Res Inst Fish Eng (Japan) (Fish Boat Instrum)
Technical report of National Research Institute of Fisheries Engineering (Japan). Fishing gear and methods	Tech. Rep. Natl. Res. Inst. Fish. Eng. (Japan) (Fish. Gear Methods)	Tech Rep Natl Res Inst Fish Eng (Japan) (Fish Gear Methods)
Technical report series. Chesapeake Bay Program	Tech. Rep. Ser. Chesapeake Bay Program	Tech Rep Ser Chesapeake Bay Program
Technical report series. Georgia Marine Science Center Sea Grant Program	Tech. Rep. Ser. Ga. Mar. Sci. Cent. Sea Grant Program	Tech Rep Ser Ga Mar Sci Cent Sea Grant Program
Technical report series. Georgia Marine Science Center	Tech. Rep. Ser. Ga. Mar. Sci. Cent.	Tech Rep Ser Ga Mar Sci Cent
Technical report series. International Atomic Energy Agency	Tech. Rep. Ser. IAEA	Tech Rep Ser IAEA
Technical report series. National Institute for Freshwater Fisheries Research (Nigeria)	Tech. Rep. Ser. Natl. Inst. Freshwat. Fish. Res. (Niger.)	Tech Rep Ser Natl Inst Freshwat Fish Res (Niger)
Technical report series. Nigerian-German Kainji Lake Fisheries Promotion Project	Tech. Rep. Ser. Niger. Ger. Kainji Lake Fish. Promot. Proj.	Tech Rep Ser Niger Ger Kainji Lake Fish Promot Proj
Technical report series. Tennessee Valley Authority	Tech. Rep. Ser. Tenn. Valley Auth.	Tech Rep Ser Tenn Valley Auth
Technical report. Battelle Pacific Northwest Laboratories	Tech. Rep. Battelle Pac. Northwest Lab.	Tech Rep Battelle Pac Northwest Lab
Technical report. CRC Reef Research Centre	Tech. Rep. CRC Reef Res. Cent.	Tech Rep CRC Reef Res Cent
Technical report. CSIRO Marine Research	Tech. Rep. CSIRO Mar. Res.	Tech Rep CSIRO Mar Res
Technical report. Delaware University Sea Grant College Program	Tech. Rep. Del. Univ. Sea Grant Coll. Program	Tech Rep Del Univ Sea Grant Coll Program
Technical report. Great Barrier Reef Marine Park Authority	Tech. Rep. Great Barrier Reef Mar. Park Auth.	Tech Rep Great Barrier Reef Mar Park Auth
Technical Report. Great Lakes Fishery Commission	Tech. Rep. GLFC	Tech Rep GLFC
Technical report. Hawaii Department of Land and Natural Resources, Division of Water and Land Development	Tech. Rep. Hawaii Dep. Land Nat. Resour. Div. Water Land Dev.	Tech Rep Hawaii Dep Land Nat Resour Div Water Land Dev
Technical report. Hawaii Institute of Geophysics	Tech. Rep. Hawaii Inst. Geophys.	Tech Rep Hawaii Inst Geophys
Technical report. Hawaii University, Water Resources Research Center	Tech. Rep. Hawaii Univ. Water Resour. Res. Cent.	Tech Rep Hawaii Univ Water Resour Res Cent
Technical report. International Decade of Ocean Exploration, Coastal Upwelling Ecosystem Analysis	Tech. Rep. IDOE CUAE	Tech Rep IDOE CUAE
Technical Report. International Pacific Halibut Commission	Tech. Rep. IPHC	Tech Rep IPHC
Technical report. Lamont-Doherty Geological Observatory	Tech. Rep. Lamont-Doherty Geol. Obs.	Tech Rep Lamont-Doherty Geol Obs
Technical report. Louisiana State University, Coastal Studies Institute	Tech. Rep. La. State Univ. Coast. Stud. Inst.	Tech Rep La State Univ Coast Stud Inst
Technical report. Maine Sea Grant	Tech. Rep. Maine Sea Grant	Tech Rep Maine Sea Grant
Technical report. Marine Research Laboratories, Department of Primary Industry and Fisheries (Tasmania)	Tech. Rep. Mar. Res. Lab. Dep. Prim. Ind. Fish. (Tasman.)	Tech Rep Mar Res Lab Dep Prim Ind Fish (Tasman)
Technical report. Marine Studies Programme, University of the South Pacific	Tech. Rep. Mar. Stud. Programme Univ. S. Pac.	Tech Rep Mar Stud Programme Univ S Pac
Technical report. Maryland University Sea Grant Program	Tech. Rep. Md. Univ. Sea Grant Program	Tech Rep Md Univ Sea Grant Program
Technical report. Massachusetts Division of Marine Fisheries	Compl. Rep. Mass. Div. Mar. Fish.	Compl Rep Mass Div Mar Fish
Technical report. Miami University, Rosenstiel School of Marine and Atmospheric Science	Tech. Rep. Miami Univ. Rosenstiel Sch. Mar. Atmos. Sci.	Tech Rep Miami Univ Rosenstiel Sch Mar Atmos Sci
Technical report. Michigan University. Sea Grant Program	Tech. Rep. Mich. Univ. Sea Grant Program	Tech Rep Mich Univ Sea Grant Program
Technical Report. Nansen Remote Sensing Center	Tech. Rep. NRSC	Tech Rep NRSC
Technical report. National Institute of Oceanography (India)	Tech. Rep. Natl. Inst. Oceanogr. (India)	Tech Rep Natl Inst Oceanogr (India)
Technical report. Natural History Museum of Los Angeles County	Tech. Rep. Nat. Hist. Mus. Los Ang. Cty.	Tech Rep Nat Hist Mus Los Ang Cty
Technical report. Oceanic Fisheries Programme, Secretariat of the Pacific Community	Tech. Rep. Ocean. Fish. Programme Secr. Pac. Community	Tech Rep Ocean Fish Programme Secr Pac Community
Technical report. Office of Naval Research	Tech. Rep. Off. Nav. Res.	Tech Rep Off Nav Res
Technical report. Pennsylvania State University, Applied Research Laboratory	Tech. Rep. Pa. State Univ. Appl. Res. Lab.	Tech Rep Pa State Univ Appl Res Lab
Technical report. Purdue University, Water Resources Research Center	Tech. Rep. Purdue Univ. Water Resour. Res. Cent.	Tech Rep Purdue Univ Water Resour Res Cent
Technical Report. School of Aquatic and Fishery Science, Fisheries Research Institute, Washington University	Rep. Fish. Res. Inst. Wash. Univ.	Rep Fish Res Inst Wash Univ
Technical report. Seychelles Fishing Authority	Tech. Rep. Seychelles Fish. Auth.	Tech Rep Seychelles Fish Auth
Technical report. Solar Energy Research Institute, Golden Colo	Tech. Rep. Solar Energy Res. Inst. Golden Colo.	Tech Rep Solar Energy Res Inst Golden Colo
Technical report. South Carolina Marine Resources Center	Tech. Rep. S.C. Mar. Resour. Cent.	Tech Rep SC Mar Resour Cent
Technical Report. Southern California Coastal Water Research Project	Tech. Rep. Southern California Coast. Water Res. Proj.	Tech Rep Southern California Coast Water Res Proj
Technical report. Southern California University Sea Grant Program	Tech. Rep. South. Calif. Univ. Sea Grant Program	Tech Rep South Calif Univ Sea Grant Program
Technical Report. Tasmanian Aquaculture and Fisheries Institute	Tech. Rep. Tasmanian Aquacult. Fish. Inst.	Tech Rep Tasmanian Aquacult Fish Inst
Technical report. Tetra Tech., Inc.	Tech. Rep. Tetra Tech.	Tech Rep Tetra Tech
Technical Report. Texas A & M University, Department of Oceanography	Tech. Rep. Texas A & M Univ. Dep. Oceanogr.	Tech Rep Texas A & M Univ Dep Oceanogr
Technical report. Texas University, Applied Research Laboratories	Tech. Rep. Texas Univ. Appl. Res. Lab.	Tech Rep Texas Univ Appl Res Lab
Technical report. U.S. Air Force Geophysics Laboratory	Tech. Rep. U.S. Air Force Geophys. Lab.	Tech Rep US Air Force Geophys Lab
Technical report. U.S. Army Coastal Engineering Research Center	Tech. Rep. U.S. Army Coast. Eng. Res. Cent.	Tech Rep US Army Coast Eng Res Cent
Technical Report. U.S. Army Cold Regions Research Engineering Laboratory	Tech. Rep. U.S. Army Cold Reg. Res. Eng. Lab.	Tech Rep US Army Cold Reg Res Eng Lab
Technical report. U.S. Army Engineer Topographic Laboratories	Tech. Rep. U.S. Army Eng. Topogr. Lab.	Tech Rep US Army Eng Topogr Lab
Technical report. U.S. Army Engineer Waterways Experiment Station	Tech. Rep. U.S. Army Eng. Waterways Exp. Stn.	Tech Rep US Army Eng Waterways Exp Stn
Technical report. U.S. Bureau of Reclamation	Tech. Rep. U.S. Bur. Reclam.	Tech Rep US Bur Reclam
Technical report. U.S. Fish and Wildlife Service	Tech. Rep. U.S. Fish Wildl. Serv.	Tech Rep US Fish Wildl Serv
Technical report. U.S. Naval Environmental Prediction Research Facility	Tech. Rep. U.S. Nav. Environ. Predict. Res. Facil.	Tech Rep US Nav Environ Predict Res Facil
Technical report. U.S. Naval Medical Research Institute	Tech. Rep. U.S. Nav. Med. Res. Inst.	Tech Rep US Nav Med Res Inst
Technical report. U.S. Naval Ocean Systems Center	Tech. Rep. U.S. Nav. Ocean Syst. Cent.	Tech Rep US Nav Ocean Syst Cent
Technical report. U.S. Naval Postgraduate School	Tech. Rep. U.S. Nav. Postgrad. Sch.	Tech Rep US Nav Postgrad Sch
Technical report. U.S. Naval Surface Weapons Center	Tech. Rep. U.S. Nav. Surf. Weapons Cent.	Tech Rep US Nav Surf Weapons Cent
Technical report. U.S. Naval Underwater Systems Center	Tech. Rep. U.S. Nav. Underwat. Syst. Cent.	Tech Rep US Nav Underwat Syst Cent
Technical report. U.S. Navy Civil Engineering Laboratory	Tech. Rep. U.S. Navy Civ. Eng. Lab.	Tech Rep US Navy Civ Eng Lab
Technical report. University of Washington, Department of Atmospheric Sciences	Tech. Rep. Univ. Wash. Dep. Atmos. Sci.	Tech Rep Univ Wash Dep Atmos Sci
Technical report. Virginia University, Department of Environmental Sciences	Tech. Rep. Va. Univ. Dep. Environ. Sci.	Tech Rep Va Univ Dep Environ Sci
Technical report. Washington Department of Fisheries	Tech. Rep. Wash. Dep. Fish.	Tech Rep Wash Dep Fish
Technical report. Washington University, Applied Physics Laboratory	Tech. Rep. Wash. Univ. Appl. Phys. Lab.	Tech Rep Wash Univ Appl Phys Lab
Technical report. Westinghouse Savannah River Co	Tech. Rep. Westinghouse Savannah River Co.	Tech Rep Westinghouse Savannah River Co
Technical report. Wisconsin University, Department of Geology and Geophysics	Tech. Rep. Wis. Univ. Dep. Geol. Geophys.	Tech Rep Wis Univ Dep Geol Geophys
Technical report. Woods Hole Oceanographic Institution	Tech. Rep. Woods Hole Oceanogr. Inst.	Tech Rep Woods Hole Oceanogr Inst
Technical Reports. U.S. Army Engineer Waterways Experiment Station, Environmental Laboratory	Tech. Rep., U.S. Army Eng. Waterways Exp. Station, Environ. Lab.	Tech Rep, US Army Eng Waterways Exp Station, Environ Lab
Technical series. Intergovernmental Oceanographic Commission	Tech. Ser. IOC	Tech Ser IOC
Technical Series. New Zealand Department of Conservation	Tech. Ser. NZ Dept. Conserv.	Tech Ser NZ Dept Conserv
Technical summary report. Wisconsin University, Mathematics Research Center	Tech. Summ. Rep. Wis. Univ. Math. Res. Cent.	Tech Summ Rep Wis Univ Math Res Cent
Technical summary. Ohio Sea Grant	Tech. Summ. Ohio Sea Grant	Tech Summ Ohio Sea Grant
Technological Forecasting and Social Change	Technol. Forecast. Soc. Change	Technol Forecast Soc Change
Technology and Health Care	Technol. Health Care	Technol Health Care
Technovation	Technovation	Technovation
Tecnologia Ambiental	Tecnol. Ambient.	Tecnol Ambient
Tell'Us	Tell'Us	Tell'Us
Tellus. Series B: Chemical and Physical Meteorology	Tellus (B Chem. Phys. Meteorol.)	Tellus (B Chem Phys Meteorol)
TemaNord	TemaNord	TemaNord
Teratogenesis, Carcinogenesis and Mutagenesis	Teratog., Carcinog. Mutag.	Teratog, Carcinog Mutag
Terra	Terra	Terra
Tesis doctorales. Instituto Espanol de Oceanografia	Tesis Dr. Inst. Esp. Oceanogr.	Tesis Dr Inst Esp Oceanogr
Tetrahedron Letters	Tetrahedron Lett.	Tetrahedron Lett
Tetrahedron	Tetrahedron	Tetrahedron
Texas Shores	Texas Shores	Texas Shores
Text/reference book series. Training Department, Southeast Asian Fisheries Development Center	Text/Ref. Book Ser. Train. Dep. Southeast Asian Fish. Dev. Cent.	Text/Ref Book Ser Train Dep Southeast Asian Fish Dev Cent
Texte. Umweltbundesamt	Texte Umweltbundesamt	Texte Umweltbundesamt
TFRI conference proceedings	TFRI Conf. Proc.	TFRI Conf Proc
Thai fishing vessels statistics	Thai Fish. Vessels Stat.	Thai Fish Vessels Stat
Thai marine fisheries research bulletin	Thai Mar. Fish. Res. Bull.	Thai Mar Fish Res Bull
Thalassas	Thalassas	Thalassas
Thalassia salentina	Thalassia Salent.	Thalassia Salent
The Australian Economic Review	Aust. Econ. Rev.	Aust Econ Rev
The Birds of North America	The Birds of North America	The Birds of North America
The British Journal of Sociology	Br. J. Sociol.	Br J Sociol
The Historian	The Hist.	The Hist
The Journal of American Culture	J. American Cult.	J American Cult
The Journal of Cetacean Research and Management. Special Issue	J. Cetacean Res. Manage. Special Issue	J Cetacean Res Manage Special Issue
The Journal of Industrial Relations	J. Indust. Relations	J Indust Relations
The Journal of Personality	J. Personality	J Personality
The Journal of the Historical Society	J. Historical Soc.	J Historical Soc
The Kaohsiung Journal of Medical Sciences	Kaohsiung J. Med. Sci.	Kaohsiung J Med Sci
The Muslim World	Muslim World	Muslim World
The Neuroscientist	Neuroscientist	Neuroscientist
The ocean engineering/Haiyang Gongcheng	The Ocean Eng./Haiyang Gongcheng	The Ocean Eng/Haiyang Gongcheng
The Philosophical 4	Philisophical 4	Philisophical 4
The Political 4	Political 4	Political 4
The Sea: Ideas and Observations on Progress in the Study of the Seas	The Sea: Ideas Obs. Prog. Study Seas	The Sea: Ideas Obs Prog Study Seas
The World Economy	World Econ.	World Econ
Theoretical and Applied Fracture Mechanics	Theor. Appl. Fract. Mech.	Theor Appl Fract Mech
Theoretical and Applied Genetics	Theor. Appl. Genet.	Theor Appl Genet
Theoretical Issues in Ergonomics Science	Theor. Issues Ergonomics Sci.	Theor Issues Ergonomics Sci
Theoretical Population Biology	Theor. Popul. Biol.	Theor Popul Biol
Therapeutic Apheresis and Dialysis	Theor. Apheresis Dial.	Theor Apheresis Dial
Therapeutic Immunology	Ther. Immunol.	Ther Immunol
TheScientificWorld Journal	TheScientificWorld J.	TheScientificWorld J
Thorax	Thorax	Thorax
Tidsskrift for Samfunnsforskning	Tidsskr. Samfunnsforsk.	Tidsskr Samfunnsforsk
Tieraerztliche Umschau	Tieraerztl. Umsch.	Tieraerztl Umsch
Tijdschrift voor economische en sociale geografie	Tidschr. Econ. Soc. Geo.	Tidschr Econ Soc Geo
Tijdschrift voor Entomologie	Tijdschr. Entomol.	Tijdschr Entomol
Tissue & Cell	Tissue Cell	Tissue Cell
Tissue Antigens	Tissue Antigens	Tissue Antigens
Tissue Engineering	Tissue Eng.	Tissue Eng
TML conference proceedings	TML Conf. Proc.	TML Conf Proc
Today's Aquarist	Today's Aquar.	Today's Aquar
Tohoku journal of agricultural research	Tohoku J. Agric. Res.	Tohoku J Agric Res
Tokyo Metropolitan University Bulletin of Natural History	Tokyo Metrop. Univ. Bull. Nat. Hist.	Tokyo Metrop Univ Bull Nat Hist
Toxicologic Pathology	Toxicol. Pathol.	Toxicol Pathol
Toxicological and Environmental Chemistry	Toxicol. Environ. Chem.	Toxicol Environ Chem
Toxicological Reviews	Toxicol. Rev.	Toxicol Rev
Toxicological Sciences	Toxicol. Sci.	Toxicol Sci
Toxicology and Applied Pharmacology	Toxicol. Appl. Pharmacol.	Toxicol Appl Pharmacol
Toxicology and Industrial Health	Toxicol. Ind. Health	Toxicol Ind Health
Toxicology In Vitro	Toxicol. In Vitro	Toxicol In Vitro
Toxicology International	Toxicol. Int.	Toxicol Int
Toxicology Letters	Toxicol. Lett.	Toxicol Lett
Toxicology Mechanisms and Methods	Toxicol. Mech. Methods	Toxicol Mech Methods
Toxicology	Toxicology	Toxicology
Toxicon	Toxicon	Toxicon
Toxin Reviews	Toxin Rev.	Toxin Rev
Trabalhos oceanogr ficos da Universidade Federal de Pernambuco	Trab. Oceanogr. Univ. Fed. Pernambuco	Trab Oceanogr Univ Fed Pernambuco
Traditional marine resource management and knowledge information bulletin	Tradit. Mar. Resour. Manag. Knowl. Inf. Bull.	Tradit Mar Resour Manag Knowl Inf Bull
Traffic Injury Prevention	Traffic Injury Prev.	Traffic Injury Prev
Training course reports. Intergovernmental Oceanographic Commission	Train. Course Rep. IOC	Train Course Rep IOC
Training report. South Pacific Regional Environment Programme	Train. Rep. S. Pac. Reg. Environ. Programme	Train Rep S Pac Reg Environ Programme
Transactions of Nanjing University of Aeronautics & Astronautics	Trans. Nanjing Univ. Aeronaut. Astronaut.	Trans Nanjing Univ Aeronaut Astronaut
Transactions of oceanology and limnology/Haiyang Huzhao Tongbao	Trans. Oceanol. Limnol./Haiyang Huzhao Tongbao	Trans Oceanol Limnol/Haiyang Huzhao Tongbao
Transactions of the American Entomological Society	Trans. Am. Entomol. Soc.	Trans Am Entomol Soc
Transactions of the American Fisheries Society	Trans. Am. Fish. Soc.	Trans Am Fish Soc
Transactions of the ASAE	Trans. ASAE	Trans ASAE
Transactions of the Illinois State Academy of Science	Trans. Ill. State Acad. Sci.	Trans Ill State Acad Sci
Transactions of the Kansas Academy of Science	Trans. Kans. Acad. Sci.	Trans Kans Acad Sci
Transactions of the Kentucky Academy of Science	Trans. Ky. Acad. Sci.	Trans Ky Acad Sci
Transactions of the Lepidopterological Society of Japan	Trans. Lepidopterol. Soc. Jap.	Trans Lepidopterol Soc Jap
Transactions of the Natural History Society of Northumbria	Trans. Nat. Hist. Soc. Northumbria	Trans Nat Hist Soc Northumbria
Transactions of the Nebraska Academy of Sciences	Trans. Nebr. Acad. Sci.	Trans Nebr Acad Sci
Transactions of the North American Wildlife and Natural Resources Conference	Trans. N. Am. Wildl. Nat. Resour. Conf.	Trans N Am Wildl Nat Resour Conf
Transactions of the Philological Society	Trans Philological Soc.	Trans Philological Soc
Transactions of the Royal Society of South Africa	Trans. R. Soc. S. Afr.	Trans R Soc S Afr
Transactions of the Royal Society of South Australia	Trans. R. Soc. S. Aust.	Trans R Soc S Aust
Transactions of the Royal Society of Tropical Medicine and Hygiene	Trans. R. Soc. Trop. Med. Hyg.	Trans R Soc Trop Med Hyg
Transactions of the Tokyo University of Fisheries	Trans. Tokyo Univ. Fish.	Trans Tokyo Univ Fish
Transactions of the Wisconsin Academy of Sciences, Arts and Letters	Trans. Wisc. Acad. Sci. Arts Lett.	Trans Wisc Acad Sci Arts Lett
Transactions of the Zimbabwe Scientific Association	Trans. Zimbabwe Sci. Assoc.	Trans Zimbabwe Sci Assoc
Transactions of Tianjin University	Trans. Tianjin Univ.	Trans Tianjin Univ
Transfusion and Apheresis Science	Transfusion Apheresis Sci.	Transfusion Apheresis Sci
Transfusion	Transfusion	Transfusion
Transgenic Research	Transgenic Res.	Transgenic Res
Transgenics	Transgenics	Transgenics
Transplant Immunology	Transplant Immunol.	Transplant Immunol
Transplant International	Transplant Int.	Transplant Int
Transplantation	Transplantation	Transplantation
Transport Policy	Transp. Policy	Transp Policy
Transportation Research, Part A	Transp. Res. A	Transp Res A
Transportation Research, Part B	Transp. Res. B	Transp Res B
Transportation Research, Part C	Transp. Res. C	Transp Res C
Transportation Research, Part D: Transport and Environment	Transp. Res. D: Transp. Environ.	Transp Res D: Transp Environ
Transportation Research, Part F: Traffic Psychology and Behaviour	Transp. Res. F: Traffic Psychol. Behav.	Transp Res F: Traffic Psychol Behav
Transportation	Transportation	Transportation
Travaux et documents. Institut scientifique des Peches maritimes	Trav. Doc. Inst. Sci. Peches Marit.	Trav Doc Inst Sci Peches Marit
